2023-12-12 01:53:02.649436	https://www.encodeproject.org/report/?type=Annotation&encyclopedia_version=current&annotation_type=candidate+Cis-Regulatory+Elements&annotation_type=chromatin+state&annotation_type=representative+DNase+hypersensitivity+sites&status=released&software_used.software.name=chromhmm&limit=all
ID	Accession	Targets	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used	Annotation treatment
/annotations/ENCSR340RNY/	ENCSR340RNY			Peyer's patch	ChromHMM 18-state model of BSS01426: Peyer's patch female adult (53 years) from donor(s) ENCDO793LXB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	53	year	chromhmm	
/annotations/ENCSR184VZN/	ENCSR184VZN			Peyer's patch	ChromHMM 18-state model of BSS01427: Peyer's patch male adult (37 years) from donor(s) ENCDO271OUW,ENCDO845WKR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR994UGY/	ENCSR994UGY			common myeloid progenitor, CD34-positive	ChromHMM 18-state model of BSS00230: common myeloid progenitor_ CD34-positive female from donor(s) ENCDO950XTR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR675JSW/	ENCSR675JSW			thymus	ChromHMM 18-state model of BSS01823: thymus female embryo (147 days) from donor(s) ENCDO863JOG	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	147	day	chromhmm	
/annotations/ENCSR495YQD/	ENCSR495YQD			thymus	ChromHMM 18-state model of BSS01820: thymus female embryo (110 days) from donor(s) ENCDO711IWZ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	110	day	chromhmm	
/annotations/ENCSR584JLI/	ENCSR584JLI			MG63	ChromHMM 18-state model of BSS01267: MG63 from donor(s) ENCDO987OSE	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR693ZLR/	ENCSR693ZLR			thymus	ChromHMM 18-state model of BSS01819: thymus female embryo (105 days) from donor(s) ENCDO718LHH	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	105	day	chromhmm	
/annotations/ENCSR589BQN/	ENCSR589BQN			midbrain	ChromHMM 18-state model of BSS01270: midbrain male adult (78 years) and male adult (84 years) from donor(s) ENCDO240JUB,ENCDO317XRR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR635PYI/	ENCSR635PYI			mammary epithelial cell	ChromHMM 18-state model of BSS01213: mammary epithelial cell female adult (50 years) from donor(s) ENCDO830BUW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	50	year	chromhmm	
/annotations/ENCSR995KGR/	ENCSR995KGR			T47D	ChromHMM 18-state model of BSS01699: T47D from donor(s) ENCDO000ABA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR483PBG/	ENCSR483PBG			MCF-7	ChromHMM 18-state model of BSS01240: MCF-7 treated with 10 mM lactate for 24 hours from donor(s) ENCDO000AAE	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR076NRN/	ENCSR076NRN			CD4-positive, alpha-beta T cell	ChromHMM 18-state model of BSS00188: CD4-positive_ alpha-beta T cell female adult (33 years) from donor(s) ENCDO412QUR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	33	year	chromhmm	
/annotations/ENCSR692JXZ/	ENCSR692JXZ			right lung	ChromHMM 18-state model of BSS01522: right lung female embryo (108 days) from donor(s) ENCDO012PVK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	108	day	chromhmm	
/annotations/ENCSR946DFE/	ENCSR946DFE			right lung	ChromHMM 18-state model of BSS01520: right lung female embryo (105 days) from donor(s) ENCDO766MZV	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	105	day	chromhmm	
/annotations/ENCSR046IBB/	ENCSR046IBB			naive thymus-derived CD4-positive, alpha-beta T cell	ChromHMM 18-state model of BSS01347: naive thymus-derived CD4-positive_ alpha-beta T cell female adult (35 years) from donor(s) ENCDO178AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	35	year	chromhmm	
/annotations/ENCSR083ZYP/	ENCSR083ZYP			right kidney	ChromHMM 18-state model of BSS01518: right kidney male embryo (96 days) from donor(s) ENCDO817EKT	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	96	day	chromhmm	
/annotations/ENCSR848EEB/	ENCSR848EEB			HeLa-S3	ChromHMM 18-state model of BSS00531: HeLa-S3 G1b phase from donor(s) ENCDO000AAB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR573HSZ/	ENCSR573HSZ			muscle of back	ChromHMM 18-state model of BSS01305: muscle of back female embryo (105 days) from donor(s) ENCDO766MZV,ENCDO863KZW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR778JBS/	ENCSR778JBS			muscle of leg	ChromHMM 18-state model of BSS01318: muscle of leg female embryo (105 days) from donor(s) ENCDO863KZW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	105	day	chromhmm	
/annotations/ENCSR934JZI/	ENCSR934JZI			stomach	ChromHMM 18-state model of BSS01644: stomach female embryo (108 days) from donor(s) ENCDO012PVK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	108	day	chromhmm	
/annotations/ENCSR634BLH/	ENCSR634BLH			retina	ChromHMM 18-state model of BSS01504: retina female embryo (89 days) from donor(s) ENCDO685SWK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	89	day	chromhmm	
